,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName
12,1,1,00:00:00:00:00:04,25271,38186954,aaltosea1,rohe_test_isntance,experiment1,1700834694,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25404,38388050,aaltosea1,rohe_test_isntance,experiment1,1700834695,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25465,38480282,aaltosea1,rohe_test_isntance,experiment1,1700834696,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25622,38716196,aaltosea1,rohe_test_isntance,experiment1,1700834697,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25739,38893100,aaltosea1,rohe_test_isntance,experiment1,1700834698,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25856,39068534,aaltosea1,rohe_test_isntance,experiment1,1700834699,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,25982,39259046,aaltosea1,rohe_test_isntance,experiment1,1700834700,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26099,39435950,aaltosea1,rohe_test_isntance,experiment1,1700834701,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26216,39612854,aaltosea1,rohe_test_isntance,experiment1,1700834702,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26325,39777662,aaltosea1,rohe_test_isntance,experiment1,1700834703,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26446,39960614,aaltosea1,rohe_test_isntance,experiment1,1700834704,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26566,40142054,aaltosea1,rohe_test_isntance,experiment1,1700834705,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26693,40334078,aaltosea1,rohe_test_isntance,experiment1,1700834706,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26714,40365830,aaltosea1,rohe_test_isntance,experiment1,1700834707,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26820,40526102,aaltosea1,rohe_test_isntance,experiment1,1700834708,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26898,40644038,aaltosea1,rohe_test_isntance,experiment1,1700834709,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,26983,40772558,aaltosea1,rohe_test_isntance,experiment1,1700834710,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27091,40935854,aaltosea1,rohe_test_isntance,experiment1,1700834711,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27216,41124854,aaltosea1,rohe_test_isntance,experiment1,1700834712,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27299,41250350,aaltosea1,rohe_test_isntance,experiment1,1700834713,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27419,41431790,aaltosea1,rohe_test_isntance,experiment1,1700834714,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27516,41578454,aaltosea1,rohe_test_isntance,experiment1,1700834715,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27630,41750822,aaltosea1,rohe_test_isntance,experiment1,1700834716,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27733,41906558,aaltosea1,rohe_test_isntance,experiment1,1700834717,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27853,42086528,aaltosea1,rohe_test_isntance,experiment1,1700834718,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,27972,42266456,aaltosea1,rohe_test_isntance,experiment1,1700834719,rohe_test_stage,sdn
